title,price,rating,category,scraping_date
The Mistake (Off-Campus #2),43.29,3,New Adult,2026-03-31 11:51:28
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,New Adult,2026-03-31 11:51:28
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,Food and Drink,2026-03-31 11:51:28
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,Crime,2026-03-31 11:51:28
The Kite Runner,41.82,4,Default,2026-03-31 11:51:28
The House by the Lake,36.95,1,Historical Fiction,2026-03-31 11:51:28
The Glittering Court (The Glittering Court #1),44.28,1,Fantasy,2026-03-31 11:51:28
The Girl on the Train,55.02,2,Default,2026-03-31 11:51:28
The Genius of Birds,17.24,1,Nonfiction,2026-03-31 11:51:28
The Emerald Mystery,23.15,2,Default,2026-03-31 11:51:28
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,Food and Drink,2026-03-31 11:51:28
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,Default,2026-03-31 11:51:28
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,Nonfiction,2026-03-31 11:51:28
The Art of War,33.34,5,Default,2026-03-31 11:51:28
The Argonauts,10.93,2,Autobiography,2026-03-31 11:51:28
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,Business,2026-03-31 11:51:28
Suddenly in Love (Lake Haven #1),55.99,2,Romance,2026-03-31 11:51:28
Something More Than This,16.24,4,Romance,2026-03-31 11:51:28
Soft Apocalypse,26.12,2,Science Fiction,2026-03-31 11:51:28
So You've Been Publicly Shamed,12.23,2,Nonfiction,2026-03-31 11:51:28
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,Business,2026-03-31 11:51:28
"Shobu Samurai, Project Aryoku (#3)",29.06,3,Add a comment,2026-03-31 11:51:28
Secrets and Lace (Fatal Hearts #1),20.27,1,Default,2026-03-31 11:51:28
Scarlett Epstein Hates It Here,43.55,5,Young Adult,2026-03-31 11:51:28
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,Default,2026-03-31 11:51:28
Redeeming Love,20.47,5,Christian Fiction,2026-03-31 11:51:28
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,Default,2026-03-31 11:51:28
Poems That Make Grown Women Cry,14.19,4,Poetry,2026-03-31 11:51:28
"Nightingale, Sing",38.28,1,Young Adult,2026-03-31 11:51:28
Night Sky with Exit Wounds,41.05,1,Poetry,2026-03-31 11:51:28
Mrs. Houdini,30.25,5,Historical Fiction,2026-03-31 11:51:28
Modern Romance,28.26,5,Add a comment,2026-03-31 11:51:28
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,Default,2026-03-31 11:51:28
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,Biography,2026-03-31 11:51:28
Little Red,13.47,3,Childrens,2026-03-31 11:51:28
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,Young Adult,2026-03-31 11:51:28
Large Print Heart of the Pride,19.15,2,Default,2026-03-31 11:51:28
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,Womens Fiction,2026-03-31 11:51:28
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,Fantasy,2026-03-31 11:51:28
Grumbles,22.16,2,Default,2026-03-31 11:51:28
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Travel,2026-03-31 11:51:28
Frostbite (Vampire Academy #2),29.99,5,Young Adult,2026-03-31 11:51:28
Follow You Home,21.36,1,Horror,2026-03-31 11:51:28
First Steps for New Christians (Print Edition),29.0,1,Default,2026-03-31 11:51:28
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,Fiction,2026-03-31 11:51:28
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,Sequential Art,2026-03-31 11:51:28
Eureka Trivia 6.0,54.59,4,Default,2026-03-31 11:51:28
Drive: The Surprising Truth About What Motivates Us,34.95,4,Default,2026-03-31 11:51:28
Done Rubbed Out (Reightman & Bailey #1),37.72,5,Default,2026-03-31 11:51:28
Doing It Over (Most Likely To #1),35.61,3,Romance,2026-03-31 11:51:28
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,Food and Drink,2026-03-31 11:51:28
Dark Notes,19.19,5,Erotica,2026-03-31 11:51:28
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,Nonfiction,2026-03-31 11:51:28
Close to You,49.46,4,Christian Fiction,2026-03-31 11:51:28
Chasing Heaven: What Dying Taught Me About Living,37.8,2,Spirituality,2026-03-31 11:51:28
Big Magic: Creative Living Beyond Fear,30.8,3,Nonfiction,2026-03-31 11:51:28
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,Nonfiction,2026-03-31 11:51:28
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,Default,2026-03-31 11:51:28
Batman: The Long Halloween (Batman),36.5,2,Sequential Art,2026-03-31 11:51:28
Batman: The Dark Knight Returns (Batman),15.38,5,Sequential Art,2026-03-31 11:51:28
Ayumi's Violin,15.48,2,Default,2026-03-31 11:51:28
Anonymous,46.82,4,Default,2026-03-31 11:51:28
Amy Meets the Saints and Sages,18.46,3,Default,2026-03-31 11:51:28
Amid the Chaos,36.58,1,Cultural,2026-03-31 11:51:28
Amatus,50.54,5,Default,2026-03-31 11:51:28
Agnostic: A Spirited Manifesto,12.51,5,Nonfiction,2026-03-31 11:51:28
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,History,2026-03-31 11:51:28
You (You #1),43.61,5,Thriller,2026-03-31 11:51:28
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,Sequential Art,2026-03-31 11:51:28
Wild Swans,14.36,2,Young Adult,2026-03-31 11:51:28
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,Politics,2026-03-31 11:51:28
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,Nonfiction,2026-03-31 11:51:28
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,Nonfiction,2026-03-31 11:51:28
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,Sequential Art,2026-03-31 11:51:28
Walt Disney's Alice in Wonderland,12.96,5,Childrens,2026-03-31 11:51:28
V for Vendetta (V for Vendetta Complete),37.1,4,Default,2026-03-31 11:51:28
Until Friday Night (The Field Party #1),46.31,2,Young Adult,2026-03-31 11:51:28
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,Default,2026-03-31 11:51:28
Twenty Yawns,22.08,2,Childrens,2026-03-31 11:51:28
Through the Woods,25.38,2,Sequential Art,2026-03-31 11:51:28
This Is Where It Ends,27.12,2,Young Adult,2026-03-31 11:51:28
The Year of Magical Thinking,43.04,2,Nonfiction,2026-03-31 11:51:28
The Wright Brothers,56.8,4,Default,2026-03-31 11:51:28
The White Queen (The Cousins' War #1),25.91,5,Add a comment,2026-03-31 11:51:28
The Wedding Pact (The O'Malleys #2),32.61,3,Romance,2026-03-31 11:51:28
The Time Keeper,27.88,5,Fiction,2026-03-31 11:51:28
The Testament of Mary,52.67,4,Fiction,2026-03-31 11:51:28
The Star-Touched Queen,32.3,5,Fantasy,2026-03-31 11:51:28
The Songs of the Gods,44.48,5,Default,2026-03-31 11:51:28
The Song of Achilles,37.4,5,Add a comment,2026-03-31 11:51:28
The Rosie Project (Don Tillman #1),54.04,1,Default,2026-03-31 11:51:28
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,Default,2026-03-31 11:51:28
The Marriage of Opposites,28.08,4,Historical Fiction,2026-03-31 11:51:28
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,Psychology,2026-03-31 11:51:28
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,Humor,2026-03-31 11:51:28
The Loney,23.4,1,Horror,2026-03-31 11:51:28
The Literature Book (Big Ideas Simply Explained),17.43,3,Nonfiction,2026-03-31 11:51:28
The Last Mile (Amos Decker #2),54.21,2,Mystery,2026-03-31 11:51:28
The Immortal Life of Henrietta Lacks,40.67,2,Add a comment,2026-03-31 11:51:28
The Hidden Oracle (The Trials of Apollo #1),52.26,2,Fantasy,2026-03-31 11:51:28
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,Food and Drink,2026-03-31 11:51:28
The Guilty (Will Robie #4),13.82,2,Thriller,2026-03-31 11:51:28
The First Hostage (J.B. Collins #2),25.85,3,Fiction,2026-03-31 11:51:28
The Dovekeepers,48.78,1,Add a comment,2026-03-31 11:51:28
The Darkest Lie,35.35,5,Young Adult,2026-03-31 11:51:28
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,Fantasy,2026-03-31 11:51:28
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1,Nonfiction,2026-03-31 11:51:28
The 14th Colony (Cotton Malone #11),39.24,1,Thriller,2026-03-31 11:51:28
That Darkness (Gardiner and Renner #1),13.92,1,Mystery,2026-03-31 11:51:28
Tastes Like Fear (DI Marnie Rome #3),10.69,1,Mystery,2026-03-31 11:51:28
Take Me with You,45.21,3,Fiction,2026-03-31 11:51:28
Swell: A Year of Waves,45.58,1,Nonfiction,2026-03-31 11:51:28
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,Sequential Art,2026-03-31 11:51:28
Still Life with Bread Crumbs,26.41,3,Fiction,2026-03-31 11:51:28
Steve Jobs,39.5,5,Default,2026-03-31 11:51:28
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,Science,2026-03-31 11:51:28
Someone Like You (The Harrisons #2),52.79,5,Contemporary,2026-03-31 11:51:28
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,Sequential Art,2026-03-31 11:51:28
Shtum,55.84,4,Fiction,2026-03-31 11:51:28
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,Travel,2026-03-31 11:51:28
salt.,46.78,4,Poetry,2026-03-31 11:51:28
Robin War,47.82,3,Sequential Art,2026-03-31 11:51:28
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,Sequential Art,2026-03-31 11:51:28
Rain Fish,23.57,3,Childrens,2026-03-31 11:51:28
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,Poetry,2026-03-31 11:51:28
Pet Sematary,10.56,3,Horror,2026-03-31 11:51:28
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,Self Help,2026-03-31 11:51:28
Once Was a Time,18.28,2,Childrens,2026-03-31 11:51:28
Old School (Diary of a Wimpy Kid #10),11.83,5,Humor,2026-03-31 11:51:28
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,Nonfiction,2026-03-31 11:51:28
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,Sequential Art,2026-03-31 11:51:28
My Name Is Lucy Barton,41.56,1,Fiction,2026-03-31 11:51:28
My Mrs. Brown,24.48,3,Fiction,2026-03-31 11:51:28
My Kind of Crazy,40.36,1,Young Adult,2026-03-31 11:51:28
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,Fiction,2026-03-31 11:51:28
More Than Music (Chasing the Dream #1),37.61,2,Add a comment,2026-03-31 11:51:28
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,Business,2026-03-31 11:51:28
Luis Paints the World,53.95,3,Childrens,2026-03-31 11:51:28
Luckiest Girl Alive,49.83,3,Default,2026-03-31 11:51:28
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,Sequential Art,2026-03-31 11:51:28
Love Is a Mix Tape (Music #1),18.03,1,Music,2026-03-31 11:51:28
Looking for Lovely: Collecting the Moments that Matter,29.14,5,Nonfiction,2026-03-31 11:51:28
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,Default,2026-03-31 11:51:28
Let It Out: A Journey Through Journaling,26.79,5,Nonfiction,2026-03-31 11:51:28
Lady Midnight (The Dark Artifices #1),16.28,5,Default,2026-03-31 11:51:28
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,Food and Drink,2026-03-31 11:51:28
Island of Dragons (Unwanteds #7),29.65,1,Fantasy,2026-03-31 11:51:28
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,Humor,2026-03-31 11:51:28
I Am Pilgrim (Pilgrim #1),10.6,4,Fiction,2026-03-31 11:51:28
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,Humor,2026-03-31 11:51:28
"Hush, Hush (Hush, Hush #1)",47.02,3,Default,2026-03-31 11:51:28
Hold Your Breath (Search and Rescue #1),28.82,1,Romance,2026-03-31 11:51:28
Hamilton: The Revolution,58.79,3,Nonfiction,2026-03-31 11:51:28
Greek Mythic History,10.23,5,Default,2026-03-31 11:51:28
God: The Most Unpleasant Character in All Fiction,30.03,5,Religion,2026-03-31 11:51:28
Glory over Everything: Beyond The Kitchen House,45.84,3,Historical Fiction,2026-03-31 11:51:28
Feathers: Displays of Brilliant Plumage,49.05,3,Art,2026-03-31 11:51:28
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,Nonfiction,2026-03-31 11:51:28
Every Last Word,46.47,3,Default,2026-03-31 11:51:28
